"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
484,"M",3,6,1,1,1,1,0,0,0
485,"M",4,6,0,0,0,1,1,0,0
486,"F",5,1,1,0,0,1,0,1,0
487,"M",4,6,1,1,1,1,1,0,0
488,"M",3,6,0,1,0,1,1,0,0
489,"F",3,6,1,1,1,1,0,0,0
490,"F",2,6,NA,NA,NA,0,0,0,0
491,"M",3,5,1,1,1,1,1,0,0
492,"F",2,6,0,0,0,1,0,0,0
493,"F",5,5,1,1,1,1,0,0,0
494,"F",5,6,0,0,0,1,0,0,0
495,"F",2,6,1,1,1,1,0,0,0
496,"F",4,6,1,1,1,1,0,0,0
497,"F",6,6,0,1,0,1,0,0,0
498,"F",2,5,0,0,0,1,0,0,0
499,"M",5,6,NA,NA,NA,0,0,NA,NA
500,"M",2,6,0,0,0,1,1,0,0
501,"F",2,5,0,0,0,0,0,0,0
502,"F",1,5,1,1,1,1,0,0,0
503,"M",2,5,1,1,1,1,0,0,0
504,"M",7,6,0,0,0,1,0,0,1
505,"F",5,6,1,1,1,0,0,0,NA
506,"M",6,4,0,0,0,1,0,0,0
507,"F",5,6,1,1,1,1,0,0,1
508,"M",1,1,1,1,1,1,0,0,0
509,"M",4,6,0,0,0,1,0,0,0
510,"F",6,2,1,1,1,1,1,0,0
511,"F",5,6,0,0,0,0,0,0,0
512,"F",2,5,1,1,1,1,0,0,0
513,"M",4,6,0,0,0,1,1,0,0
514,"M",2,6,1,1,1,1,1,0,0
515,"F",7,1,0,0,0,1,0,0,0
516,"F",4,6,1,1,1,1,1,0,1
517,"F",3,6,0,0,0,1,1,0,0
518,"M",4,6,1,1,1,0,0,0,0
519,"F",4,6,1,1,1,1,1,1,0
520,"M",6,6,1,1,1,0,0,0,0
521,"M",3,6,1,1,1,1,1,0,0
522,"M",2,6,1,1,1,1,0,0,0
523,"F",2,6,1,1,1,1,0,0,0
524,"F",2,5,1,1,1,0,0,0,0
525,"F",6,6,0,NA,0,0,0,NA,NA
526,"M",5,3,0,1,0,1,1,0,1
527,"F",4,4,0,0,0,1,1,0,1
528,"M",2,5,1,1,1,1,0,0,0
529,"M",7,6,1,1,1,1,1,0,1
530,"F",7,6,0,0,0,1,0,0,0
531,"F",7,1,0,1,0,1,1,0,1
532,"M",1,1,1,1,1,1,1,0,0
533,"M",1,1,0,0,0,1,0,0,0
534,"F",6,6,1,1,1,1,0,0,0
535,"M",5,2,0,0,0,0,0,0,0
536,"F",5,6,0,0,0,1,0,0,0
537,"F",3,6,0,0,0,0,0,0,0
538,"F",3,6,0,0,0,1,0,0,0
539,"F",6,6,NA,NA,NA,0,0,NA,NA
540,"F",5,6,1,1,1,0,0,0,0
541,"F",5,6,1,0,0,1,0,0,0
542,"M",5,6,1,1,1,0,0,0,0
543,"F",7,5,0,0,0,1,1,0,0
544,"M",5,6,0,0,0,1,1,0,0
545,"M",4,6,0,0,0,1,0,0,0
546,"F",5,6,0,1,0,0,0,0,0
547,"M",2,6,0,0,0,1,1,0,0
548,"F",1,1,1,1,1,1,0,0,0
549,"F",1,5,0,0,0,0,0,0,0
550,"M",4,1,1,1,1,1,0,0,0
551,"M",5,5,1,1,1,1,1,0,0
552,"F",5,6,0,0,0,1,0,0,0
553,"M",5,6,1,1,1,0,0,0,1
554,"F",1,5,0,0,0,1,1,0,0
555,"F",6,6,0,0,0,1,1,0,0
556,"F",7,4,NA,NA,NA,0,0,NA,NA
557,"F",2,6,NA,NA,NA,0,0,NA,NA
558,"F",5,5,0,0,0,1,1,0,0
559,"M",7,5,0,0,0,0,0,0,1
560,"M",6,1,1,0,1,1,1,0,0
561,NA,NA,4,NA,NA,NA,0,0,NA,NA
562,"F",4,5,1,1,1,1,1,0,0
563,"M",7,2,1,1,1,1,1,0,0
564,NA,4,6,0,0,0,1,1,0,0
565,NA,NA,4,0,0,0,0,0,0,0
566,"M",3,6,0,0,0,1,0,0,0
567,"F",3,6,0,1,0,1,0,0,0
568,"F",5,6,1,1,1,0,0,0,NA
569,"F",5,3,0,0,0,1,0,0,0
570,"M",5,6,1,1,1,1,1,0,0
571,"F",1,1,0,0,0,1,0,0,0
